Name,Link,Brand
Explorer,https://www.fragrantica.com/perfume/Montblanc/Explorer-52002.html,Montblanc
Moustache Eau de Parfum,https://www.fragrantica.com/perfume/Rochas/Moustache-Eau-de-Parfum-52350.html,Rochas
Legend Spirit,https://www.fragrantica.com/perfume/Montblanc/Legend-Spirit-33443.html,Montblanc
Legend,https://www.fragrantica.com/perfume/Montblanc/Legend-11784.html,Montblanc
Individuel,https://www.fragrantica.com/perfume/Montblanc/Individuel-4193.html,Montblanc
Starwalker,https://www.fragrantica.com/perfume/Montblanc/Starwalker-4023.html,Montblanc
Uomo Salvatore Ferragamo Signature,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Uomo-Salvatore-Ferragamo-Signature-50797.html,Salvatore Ferragamo
Eau de Lacoste L.12.12. White,https://www.fragrantica.com/perfume/Lacoste-Fragrances/Eau-de-Lacoste-L-12-12-White-11043.html,Lacoste Fragrances
Coach for Men,https://www.fragrantica.com/perfume/Coach/Coach-for-Men-45343.html,Coach
F by Ferragamo Black,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/F-by-Ferragamo-Black-5002.html,Salvatore Ferragamo
Icon,https://www.fragrantica.com/perfume/Alfred-Dunhill/Icon-29229.html,Alfred Dunhill
Fierce,https://www.fragrantica.com/perfume/Abercrombie-Fitch/Fierce-3508.html,Abercrombie & Fitch
Uomo Salvatore Ferragamo,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Uomo-Salvatore-Ferragamo-39466.html,Salvatore Ferragamo
Legend Eau de Parfum,https://www.fragrantica.com/perfume/Montblanc/Legend-Eau-de-Parfum-62583.html,Montblanc
Rochas Man,https://www.fragrantica.com/perfume/Rochas/Rochas-Man-1426.html,Rochas
Jimmy Choo Man Ice,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-Man-Ice-43304.html,Jimmy Choo
L'Homme Rochas,https://www.fragrantica.com/perfume/Rochas/L-Homme-Rochas-59056.html,Rochas
First Instinct,https://www.fragrantica.com/perfume/Abercrombie-Fitch/First-Instinct-37753.html,Abercrombie & Fitch
Acqua Essenziale Blu,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Acqua-Essenziale-Blu-24788.html,Salvatore Ferragamo
Coach Platinum,https://www.fragrantica.com/perfume/Coach/Coach-Platinum-50777.html,Coach
Legend Night,https://www.fragrantica.com/perfume/Montblanc/Legend-Night-45692.html,Montblanc
Midnight in Paris,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/Midnight-in-Paris-9685.html,Van Cleef & Arpels
Roberto Cavalli Uomo,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Uomo-39373.html,Roberto Cavalli
Essential,https://www.fragrantica.com/perfume/Lacoste-Fragrances/Essential-787.html,Lacoste Fragrances
Explorer Ultra Blue,https://www.fragrantica.com/perfume/Montblanc/Explorer-Ultra-Blue-66266.html,Montblanc
Jaipur Homme,https://www.fragrantica.com/perfume/Boucheron/Jaipur-Homme-137.html,Boucheron
Guess 1981 Los Angeles Men,https://www.fragrantica.com/perfume/Guess/Guess-1981-Los-Angeles-Men-55067.html,Guess
L'Homme Lacoste Intense,https://www.fragrantica.com/perfume/Lacoste-Fragrances/L-Homme-Lacoste-Intense-50828.html,Lacoste Fragrances
Jaipur Homme Eau de Parfum,https://www.fragrantica.com/perfume/Boucheron/Jaipur-Homme-Eau-de-Parfum-64096.html,Boucheron
Bois de Vetiver,https://www.fragrantica.com/perfume/Karl-Lagerfeld/Bois-de-Vetiver-45857.html,Karl Lagerfeld
L.12.12 Eau de Parfum Blanc For Him,https://www.fragrantica.com/perfume/Lacoste-Fragrances/L-12-12-Eau-de-Parfum-Blanc-For-Him-65874.html,Lacoste Fragrances
Desire for a Man,https://www.fragrantica.com/perfume/Alfred-Dunhill/Desire-for-a-Man-1934.html,Alfred Dunhill
Ferragamo Intense Leather,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Ferragamo-Intense-Leather-65225.html,Salvatore Ferragamo
Eau de Lacoste L.12.12 Blanc Limited Edition,https://www.fragrantica.com/perfume/Lacoste-Fragrances/Eau-de-Lacoste-L-12-12-Blanc-Limited-Edition-24896.html,Lacoste Fragrances
Jimmy Choo Man,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-Man-25977.html,Jimmy Choo
Lagerfeld Classic,https://www.fragrantica.com/perfume/Karl-Lagerfeld/Lagerfeld-Classic-1309.html,Karl Lagerfeld
Legend Red,https://www.fragrantica.com/perfume/Montblanc/Legend-Red-71652.html,Montblanc
Jimmy Choo Man Intense,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-Man-Intense-39467.html,Jimmy Choo
Boucheron Pour Homme,https://www.fragrantica.com/perfume/Boucheron/Boucheron-Pour-Homme-132.html,Boucheron
Eau de Rochas Homme,https://www.fragrantica.com/perfume/Rochas/Eau-de-Rochas-Homme-5145.html,Rochas
Emblem,https://www.fragrantica.com/perfume/Montblanc/Emblem-23711.html,Montblanc
Explorer Platinum,https://www.fragrantica.com/perfume/Montblanc/Explorer-Platinum-81392.html,Montblanc
Oscar de la Renta Pour Lui,https://www.fragrantica.com/perfume/Oscar-de-la-Renta/Oscar-de-la-Renta-Pour-Lui-4542.html,Oscar de la Renta
Presence,https://www.fragrantica.com/perfume/Montblanc/Presence-832.html,Montblanc
Lanvin L'Homme,https://www.fragrantica.com/perfume/Lanvin/Lanvin-L-Homme-6094.html,Lanvin
Coach Blue,https://www.fragrantica.com/perfume/Coach/Coach-Blue-60332.html,Coach
Century,https://www.fragrantica.com/perfume/Alfred-Dunhill/Century-50652.html,Alfred Dunhill
Lacoste Pour Homme,https://www.fragrantica.com/perfume/Lacoste-Fragrances/Lacoste-Pour-Homme-670.html,Lacoste Fragrances
Guess Seductive Homme,https://www.fragrantica.com/perfume/Guess/Guess-Seductive-Homme-12953.html,Guess
Starwalker Extreme,https://www.fragrantica.com/perfume/Montblanc/Starwalker-Extreme-71710.html,Montblanc
Dunhill Icon Absolute,https://www.fragrantica.com/perfume/Alfred-Dunhill/Dunhill-Icon-Absolute-36806.html,Alfred Dunhill
Icon Racing,https://www.fragrantica.com/perfume/Alfred-Dunhill/Icon-Racing-47564.html,Alfred Dunhill
Authentic Night Homme,https://www.fragrantica.com/perfume/Abercrombie-Fitch/Authentic-Night-Homme-61858.html,Abercrombie & Fitch
First Instinct Extreme,https://www.fragrantica.com/perfume/Abercrombie-Fitch/First-Instinct-Extreme-52880.html,Abercrombie & Fitch
Bois de Yuzu,https://www.fragrantica.com/perfume/Karl-Lagerfeld/Bois-de-Yuzu-50759.html,Karl Lagerfeld
Coach Green,https://www.fragrantica.com/perfume/Coach/Coach-Green-81391.html,Coach
Icon Elite,https://www.fragrantica.com/perfume/Alfred-Dunhill/Icon-Elite-38982.html,Alfred Dunhill
Tsar,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/Tsar-1098.html,Van Cleef & Arpels
Uomo Salvatore Ferragamo Casual Life,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Uomo-Salvatore-Ferragamo-Casual-Life-44863.html,Salvatore Ferragamo
Acqua Essenziale Colonia,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Acqua-Essenziale-Colonia-30816.html,Salvatore Ferragamo
Jimmy Choo Man Aqua,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-Man-Aqua-73399.html,Jimmy Choo
Moustache Original 1949,https://www.fragrantica.com/perfume/Rochas/Moustache-Original-1949-52351.html,Rochas
Guess 1981 Indigo for Men,https://www.fragrantica.com/perfume/Guess/Guess-1981-Indigo-for-Men-48799.html,Guess
Acqua Essenziale,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Acqua-Essenziale-17089.html,Salvatore Ferragamo
Legend Intense,https://www.fragrantica.com/perfume/Montblanc/Legend-Intense-18861.html,Montblanc
Rochas Man Intense,https://www.fragrantica.com/perfume/Rochas/Rochas-Man-Intense-79158.html,Rochas
Egyptian Smoke,https://www.fragrantica.com/perfume/Alfred-Dunhill/Egyptian-Smoke-67463.html,Alfred Dunhill
Agar Wood,https://www.fragrantica.com/perfume/Alfred-Dunhill/Agar-Wood-67464.html,Alfred Dunhill
Roberto Cavalli Uomo Golden Anniversary,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Uomo-Golden-Anniversary-75092.html,Roberto Cavalli
Authentic Man,https://www.fragrantica.com/perfume/Abercrombie-Fitch/Authentic-Man-54004.html,Abercrombie & Fitch
Uomo Salvatore Ferragamo Urban Feel,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Uomo-Salvatore-Ferragamo-Urban-Feel-55367.html,Salvatore Ferragamo
L.12.12 Blanc Eau Fraîche Eau de Toilette For Him,https://www.fragrantica.com/perfume/Lacoste-Fragrances/L-12-12-Blanc-Eau-Fraiche-Eau-de-Toilette-For-Him-71504.html,Lacoste Fragrances
Guess Seductive Homme Blue,https://www.fragrantica.com/perfume/Guess/Guess-Seductive-Homme-Blue-15564.html,Guess
Guess Seductive Noir Homme,https://www.fragrantica.com/perfume/Guess/Guess-Seductive-Noir-Homme-56993.html,Guess
Eclat d'Arpege Pour Homme,https://www.fragrantica.com/perfume/Lanvin/Eclat-d-Arpege-Pour-Homme-29536.html,Lanvin
Salvatore Ferragamo pour Homme,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Salvatore-Ferragamo-pour-Homme-659.html,Salvatore Ferragamo
Roberto Cavalli Uomo Silver Essence,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Uomo-Silver-Essence-45917.html,Roberto Cavalli
Ungaro pour L'Homme III,https://www.fragrantica.com/perfume/Emanuel-Ungaro/Ungaro-pour-L-Homme-III-1118.html,Emanuel Ungaro
L'Homme Lacoste,https://www.fragrantica.com/perfume/Lacoste-Fragrances/L-Homme-Lacoste-46027.html,Lacoste Fragrances
Avant Garde,https://www.fragrantica.com/perfume/Lanvin/Avant-Garde-13612.html,Lanvin
F by Ferragamo Pour Homme,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/F-by-Ferragamo-Pour-Homme-1699.html,Salvatore Ferragamo
Van Cleef & Arpels pour Homme,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/Van-Cleef-Arpels-pour-Homme-1100.html,Van Cleef & Arpels
Style in Play,https://www.fragrantica.com/perfume/Lacoste-Fragrances/Style-in-Play-4192.html,Lacoste Fragrances
Ferragamo Bright Leather,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Ferragamo-Bright-Leather-73969.html,Salvatore Ferragamo
First Instinct Together Eau de Toilette For Him,https://www.fragrantica.com/perfume/Abercrombie-Fitch/First-Instinct-Together-Eau-de-Toilette-For-Him-59431.html,Abercrombie & Fitch
Amalfi Citrus,https://www.fragrantica.com/perfume/Alfred-Dunhill/Amalfi-Citrus-61862.html,Alfred Dunhill
Eau de Lacoste L.12.12. Noir,https://www.fragrantica.com/perfume/Lacoste-Fragrances/Eau-de-Lacoste-L-12-12-Noir-18274.html,Lacoste Fragrances
Jimmy Choo Man Blue,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-Man-Blue-49723.html,Jimmy Choo
Indian Sandalwood,https://www.fragrantica.com/perfume/Alfred-Dunhill/Indian-Sandalwood-57778.html,Alfred Dunhill
Open Road,https://www.fragrantica.com/perfume/Coach/Open-Road-75425.html,Coach
Moncler pour Homme,https://www.fragrantica.com/perfume/Moncler/Moncler-pour-Homme-69818.html,Moncler
Ferragamo Spicy Leather,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Ferragamo-Spicy-Leather-68791.html,Salvatore Ferragamo
First Instinct Blue,https://www.fragrantica.com/perfume/Abercrombie-Fitch/First-Instinct-Blue-50034.html,Abercrombie & Fitch
Match Point,https://www.fragrantica.com/perfume/Lacoste-Fragrances/Match-Point-62252.html,Lacoste Fragrances
Karl New York Mercer Street,https://www.fragrantica.com/perfume/Karl-Lagerfeld/Karl-New-York-Mercer-Street-61312.html,Karl Lagerfeld
Ferragamo,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Ferragamo-59019.html,Salvatore Ferragamo
Desire Blue,https://www.fragrantica.com/perfume/Alfred-Dunhill/Desire-Blue-1937.html,Alfred Dunhill
Roberto Cavalli Uomo La Notte,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Uomo-La-Notte-51656.html,Roberto Cavalli
Bois d'Ambre,https://www.fragrantica.com/perfume/Karl-Lagerfeld/Bois-d-Ambre-67805.html,Karl Lagerfeld
Red,https://www.fragrantica.com/perfume/Lacoste-Fragrances/Red-3189.html,Lacoste Fragrances
Ferragamo Oud,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Ferragamo-Oud-62177.html,Salvatore Ferragamo
Roberto Cavalli Uomo Deep Desire,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Uomo-Deep-Desire-56591.html,Roberto Cavalli
