Name,Link,Brand
By the Fireplace,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/By-the-Fireplace-31623.html,Maison Martin Margiela
Coffee Break,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Coffee-Break-55926.html,Maison Martin Margiela
Babycat,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Babycat-73149.html,Yves Saint Laurent
Lazy Sunday Morning,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Lazy-Sunday-Morning-20542.html,Maison Martin Margiela
Tuxedo,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Tuxedo-32269.html,Yves Saint Laurent
Bubble Bath,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Bubble-Bath-60105.html,Maison Martin Margiela
Whispers in the Library,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Whispers-in-the-Library-53537.html,Maison Martin Margiela
Matcha Meditation,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Matcha-Meditation-64805.html,Maison Martin Margiela
Armani Prive Rouge Malachite,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rouge-Malachite-34589.html,Giorgio Armani
Under The Lemon Tree,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Under-The-Lemon-Tree-53379.html,Maison Martin Margiela
Autumn Vibes,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Autumn-Vibes-67789.html,Maison Martin Margiela
Sailing Day,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Sailing-Day-47891.html,Maison Martin Margiela
Orange Sanguine,https://www.fragrantica.com/perfume/Atelier-Cologne/Orange-Sanguine-9420.html,Atelier Cologne
On A Date,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/On-A-Date-78292.html,Maison Martin Margiela
Clémentine California,https://www.fragrantica.com/perfume/Atelier-Cologne/Clementine-California-42249.html,Atelier Cologne
Springtime in a Park,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Springtime-in-a-Park-55927.html,Maison Martin Margiela
Armani Privé Bleu Turquoise,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Bleu-Turquoise-48060.html,Giorgio Armani
Magenta Tanzanite,https://www.fragrantica.com/perfume/Giorgio-Armani/Magenta-Tanzanite-71536.html,Giorgio Armani
Thé Yulong,https://www.fragrantica.com/perfume/Giorgio-Armani/The-Yulong-58907.html,Giorgio Armani
Armani Prive Vert Malachite,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Vert-Malachite-34588.html,Giorgio Armani
Vanille Insensée,https://www.fragrantica.com/perfume/Atelier-Cologne/Vanille-Insensee-11456.html,Atelier Cologne
Infusion d'Amande,https://www.fragrantica.com/perfume/Prada/Infusion-d-Amande-31044.html,Prada
Mugler Cologne,https://www.fragrantica.com/perfume/Mugler/Mugler-Cologne-708.html,Mugler
Armani Privé Rose d'Arabie,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rose-d-Arabie-10886.html,Giorgio Armani
Oud Bouquet Eau de Parfum,https://www.fragrantica.com/perfume/Lancome/Oud-Bouquet-Eau-de-Parfum-26776.html,Lancôme
Jasmins Marzipane,https://www.fragrantica.com/perfume/Lancome/Jasmins-Marzipane-39737.html,Lancôme
Original Musk,https://www.fragrantica.com/perfume/Kiehl-s/Original-Musk-6188.html,Kiehl's
Pomelo Paradis,https://www.fragrantica.com/perfume/Atelier-Cologne/Pomelo-Paradis-29327.html,Atelier Cologne
