Name,Link,Brand
Le Male Le Parfum,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,Jean Paul Gaultier
Ultra Male,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Ultra-Male-30947.html,Jean Paul Gaultier
Le Beau Le Parfum,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html,Jean Paul Gaultier
Le Male,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-430.html,Jean Paul Gaultier
1 Million,https://www.fragrantica.com/perfume/Paco-Rabanne/1-Million-3747.html,Paco Rabanne
Le Male Elixir,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html,Jean Paul Gaultier
1 Million Lucky,https://www.fragrantica.com/perfume/Paco-Rabanne/1-Million-Lucky-48903.html,Paco Rabanne
Le Beau,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-55785.html,Jean Paul Gaultier
Invictus,https://www.fragrantica.com/perfume/Paco-Rabanne/Invictus-18471.html,Paco Rabanne
Scandal Pour Homme,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-68074.html,Jean Paul Gaultier
1 Million Parfum,https://www.fragrantica.com/perfume/Paco-Rabanne/1-Million-Parfum-60035.html,Paco Rabanne
1 Million Elixir,https://www.fragrantica.com/perfume/Paco-Rabanne/1-Million-Elixir-71708.html,Paco Rabanne
Invictus Victory,https://www.fragrantica.com/perfume/Paco-Rabanne/Invictus-Victory-65177.html,Paco Rabanne
212 Men,https://www.fragrantica.com/perfume/Carolina-Herrera/212-Men-297.html,Carolina Herrera
CH Men Prive,https://www.fragrantica.com/perfume/Carolina-Herrera/CH-Men-Prive-31508.html,Carolina Herrera
Phantom,https://www.fragrantica.com/perfume/Paco-Rabanne/Phantom-68226.html,Paco Rabanne
Bad Boy,https://www.fragrantica.com/perfume/Carolina-Herrera/Bad-Boy-55449.html,Carolina Herrera
1 Million Privé,https://www.fragrantica.com/perfume/Paco-Rabanne/1-Million-Prive-37698.html,Paco Rabanne
Bad Boy Cobalt Parfum Electrique,https://www.fragrantica.com/perfume/Carolina-Herrera/Bad-Boy-Cobalt-Parfum-Electrique-71888.html,Carolina Herrera
Invictus Victory Elixir,https://www.fragrantica.com/perfume/Paco-Rabanne/Invictus-Victory-Elixir-78575.html,Paco Rabanne
Invictus Platinum,https://www.fragrantica.com/perfume/Paco-Rabanne/Invictus-Platinum-72557.html,Paco Rabanne
CH Men,https://www.fragrantica.com/perfume/Carolina-Herrera/CH-Men-6759.html,Carolina Herrera
212 VIP Men,https://www.fragrantica.com/perfume/Carolina-Herrera/212-VIP-Men-12865.html,Carolina Herrera
Blue Seduction,https://www.fragrantica.com/perfume/Antonio-Banderas/Blue-Seduction-1088.html,Antonio Banderas
Pure XS,https://www.fragrantica.com/perfume/Paco-Rabanne/Pure-XS-46038.html,Paco Rabanne
212 VIP Black,https://www.fragrantica.com/perfume/Carolina-Herrera/212-VIP-Black-46093.html,Carolina Herrera
The Tragedy of Lord George,https://www.fragrantica.com/perfume/Penhaligon-s/The-Tragedy-of-Lord-George-40716.html,Penhaligon's
Bad Boy Le Parfum,https://www.fragrantica.com/perfume/Carolina-Herrera/Bad-Boy-Le-Parfum-65718.html,Carolina Herrera
Scandal Pour Homme Le Parfum,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-Le-Parfum-74915.html,Jean Paul Gaultier
The Blazing Mr Sam,https://www.fragrantica.com/perfume/Penhaligon-s/The-Blazing-Mr-Sam-50255.html,Penhaligon's
Sartorial,https://www.fragrantica.com/perfume/Penhaligon-s/Sartorial-10559.html,Penhaligon's
Invictus Legend,https://www.fragrantica.com/perfume/Paco-Rabanne/Invictus-Legend-54323.html,Paco Rabanne
Wonderwood,https://www.fragrantica.com/perfume/Comme-des-Garcons/Wonderwood-8991.html,Comme des Garcons
Black XS,https://www.fragrantica.com/perfume/Paco-Rabanne/Black-XS-514.html,Paco Rabanne
