Name,Link,Brand
Coffee & Whiskey,https://www.fragrantica.com/perfume/Bath-Body-Works/Coffee-Whiskey-76780.html,Bath & Body Works
Bourbon,https://www.fragrantica.com/perfume/Bath-Body-Works/Bourbon-45335.html,Bath & Body Works
Teakwood,https://www.fragrantica.com/perfume/Bath-Body-Works/Teakwood-45339.html,Bath & Body Works
Ocean,https://www.fragrantica.com/perfume/Bath-Body-Works/Ocean-45337.html,Bath & Body Works
Smoked Old Fashioned,https://www.fragrantica.com/perfume/Bath-Body-Works/Smoked-Old-Fashioned-76784.html,Bath & Body Works
Very Sexy for Him,https://www.fragrantica.com/perfume/Victoria-s-Secret/Very-Sexy-for-Him-1989.html,Victoria's Secret
Noir,https://www.fragrantica.com/perfume/Bath-Body-Works/Noir-45336.html,Bath & Body Works
Mahogany Woods,https://www.fragrantica.com/perfume/Bath-Body-Works/Mahogany-Woods-32772.html,Bath & Body Works
Whiskey Reserve,https://www.fragrantica.com/perfume/Bath-Body-Works/Whiskey-Reserve-76785.html,Bath & Body Works
Freshwater,https://www.fragrantica.com/perfume/Bath-Body-Works/Freshwater-53485.html,Bath & Body Works
Graphite,https://www.fragrantica.com/perfume/Bath-Body-Works/Graphite-53366.html,Bath & Body Works
Very Sexy Platinum for Him,https://www.fragrantica.com/perfume/Victoria-s-Secret/Very-Sexy-Platinum-for-Him-17450.html,Victoria's Secret
VS Him Deepwater,https://www.fragrantica.com/perfume/Victoria-s-Secret/VS-Him-Deepwater-67840.html,Victoria's Secret
Leather & Brandy,https://www.fragrantica.com/perfume/Bath-Body-Works/Leather-Brandy-76782.html,Bath & Body Works
Marble Cologne,https://www.fragrantica.com/perfume/Bath-Body-Works/Marble-Cologne-71429.html,Bath & Body Works
Peace Iced Raspberry Bellini,https://www.fragrantica.com/perfume/Bath-Body-Works/Peace-Iced-Raspberry-Bellini-77797.html,Bath & Body Works
After Dark,https://www.fragrantica.com/perfume/Bath-Body-Works/After-Dark-78837.html,Bath & Body Works
Ocean for Men,https://www.fragrantica.com/perfume/Bath-Body-Works/Ocean-for-Men-10047.html,Bath & Body Works
Noir for Men,https://www.fragrantica.com/perfume/Bath-Body-Works/Noir-for-Men-10049.html,Bath & Body Works
Clear Horizon,https://www.fragrantica.com/perfume/Bath-Body-Works/Clear-Horizon-74539.html,Bath & Body Works
VS Him Platinum,https://www.fragrantica.com/perfume/Victoria-s-Secret/VS-Him-Platinum-67839.html,Victoria's Secret
Mineral & Sea Salt,https://www.fragrantica.com/perfume/Bath-Body-Works/Mineral-Sea-Salt-76781.html,Bath & Body Works
Stone,https://www.fragrantica.com/perfume/Bath-Body-Works/Stone-74540.html,Bath & Body Works
Atlantic,https://www.fragrantica.com/perfume/Bath-Body-Works/Atlantic-59092.html,Bath & Body Works
Mahogany Coconut,https://www.fragrantica.com/perfume/Bath-Body-Works/Mahogany-Coconut-81263.html,Bath & Body Works
Mahogany Teakwood,https://www.fragrantica.com/perfume/Bath-Body-Works/Mahogany-Teakwood-81258.html,Bath & Body Works
Rose Vanilla,https://www.fragrantica.com/perfume/Bath-Body-Works/Rose-Vanilla-81269.html,Bath & Body Works
Black Tie,https://www.fragrantica.com/perfume/Bath-Body-Works/Black-Tie-78838.html,Bath & Body Works
Very Sexy for Him 2,https://www.fragrantica.com/perfume/Victoria-s-Secret/Very-Sexy-for-Him-2-1990.html,Victoria's Secret
Oasis,https://www.fragrantica.com/perfume/Bath-Body-Works/Oasis-66654.html,Bath & Body Works
Birch & Eucalyptus,https://www.fragrantica.com/perfume/Bath-Body-Works/Birch-Eucalyptus-78839.html,Bath & Body Works
Lavender Iris,https://www.fragrantica.com/perfume/Bath-Body-Works/Lavender-Iris-81257.html,Bath & Body Works
Alpine Suede,https://www.fragrantica.com/perfume/Bath-Body-Works/Alpine-Suede-32773.html,Bath & Body Works
Twilight Woods for Men,https://www.fragrantica.com/perfume/Bath-Body-Works/Twilight-Woods-for-Men-12661.html,Bath & Body Works
Orange Ginger,https://www.fragrantica.com/perfume/Bath-Body-Works/Orange-Ginger-81275.html,Bath & Body Works
Fruity & Bright,https://www.fragrantica.com/perfume/Victoria-s-Secret/Fruity-Bright-63110.html,Victoria's Secret
Sandalwood Vanilla,https://www.fragrantica.com/perfume/Bath-Body-Works/Sandalwood-Vanilla-81272.html,Bath & Body Works
Cypress,https://www.fragrantica.com/perfume/Bath-Body-Works/Cypress-53486.html,Bath & Body Works
Neroli Blossom Bergamot,https://www.fragrantica.com/perfume/Bath-Body-Works/Neroli-Blossom-Bergamot-81271.html,Bath & Body Works
Orange Flower Sandalwood,https://www.fragrantica.com/perfume/Bath-Body-Works/Orange-Flower-Sandalwood-81265.html,Bath & Body Works
Forest,https://www.fragrantica.com/perfume/Bath-Body-Works/Forest-76039.html,Bath & Body Works
Gingham Legend,https://www.fragrantica.com/perfume/Bath-Body-Works/Gingham-Legend-81255.html,Bath & Body Works
