Name,Link,Brand
Signature,https://www.fragrantica.com/perfume/Montblanc/Signature-60962.html,Montblanc
DKNY Be Delicious,https://www.fragrantica.com/perfume/Donna-Karan/DKNY-Be-Delicious-498.html,Donna Karan
I Want Choo,https://www.fragrantica.com/perfume/Jimmy-Choo/I-Want-Choo-64015.html,Jimmy Choo
Eclat d’Arpège,https://www.fragrantica.com/perfume/Lanvin/Eclat-d-Arpege-988.html,Lanvin
Orchidee Vanille,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/Orchidee-Vanille-6463.html,Van Cleef & Arpels
Jimmy Choo,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-10573.html,Jimmy Choo
I Want Choo Forever,https://www.fragrantica.com/perfume/Jimmy-Choo/I-Want-Choo-Forever-75969.html,Jimmy Choo
Jimmy Choo Fever,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-Fever-49615.html,Jimmy Choo
Lacoste Pour Femme,https://www.fragrantica.com/perfume/Lacoste-Fragrances/Lacoste-Pour-Femme-669.html,Lacoste Fragrances
Guess Seductive Noir Women,https://www.fragrantica.com/perfume/Guess/Guess-Seductive-Noir-Women-56992.html,Guess
Roberto Cavalli Eau de Parfum,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Eau-de-Parfum-13675.html,Roberto Cavalli
Illicit,https://www.fragrantica.com/perfume/Jimmy-Choo/Illicit-31233.html,Jimmy Choo
Seductive Red,https://www.fragrantica.com/perfume/Guess/Seductive-Red-69869.html,Guess
Bois d'Iris,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/Bois-d-Iris-6466.html,Van Cleef & Arpels
Coach Dreams Sunset,https://www.fragrantica.com/perfume/Coach/Coach-Dreams-Sunset-66267.html,Coach
Kate Spade New York,https://www.fragrantica.com/perfume/Kate-Spade/Kate-Spade-New-York-64401.html,Kate Spade
Signorina Misteriosa,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Signorina-Misteriosa-32646.html,Salvatore Ferragamo
Agent Provocateur,https://www.fragrantica.com/perfume/Agent-Provocateur/Agent-Provocateur-205.html,Agent Provocateur
Coach Wild Rose,https://www.fragrantica.com/perfume/Coach/Coach-Wild-Rose-72051.html,Coach
Arpège,https://www.fragrantica.com/perfume/Lanvin/Arpege-6.html,Lanvin
DKNY Be Delicious Fresh Blossom,https://www.fragrantica.com/perfume/Donna-Karan/DKNY-Be-Delicious-Fresh-Blossom-5609.html,Donna Karan
California Reverie,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/California-Reverie-25525.html,Van Cleef & Arpels
Boucheron Quatre,https://www.fragrantica.com/perfume/Boucheron/Boucheron-Quatre-29443.html,Boucheron
Amo Ferragamo,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Amo-Ferragamo-46832.html,Salvatore Ferragamo
Signorina,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Signorina-13639.html,Salvatore Ferragamo
Coach the Fragrance,https://www.fragrantica.com/perfume/Coach/Coach-the-Fragrance-38855.html,Coach
A Girl In Capri,https://www.fragrantica.com/perfume/Lanvin/A-Girl-In-Capri-54419.html,Lanvin
Paradiso,https://www.fragrantica.com/perfume/Roberto-Cavalli/Paradiso-28609.html,Roberto Cavalli
Byzance (2019),https://www.fragrantica.com/perfume/Rochas/Byzance-2019-57842.html,Rochas
Modern Princess,https://www.fragrantica.com/perfume/Lanvin/Modern-Princess-38890.html,Lanvin
Jimmy Choo Blossom,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-Blossom-29165.html,Jimmy Choo
Coach Floral Eau The Parfum,https://www.fragrantica.com/perfume/Coach/Coach-Floral-Eau-The-Parfum-48115.html,Coach
Rumeur 2 Rose,https://www.fragrantica.com/perfume/Lanvin/Rumeur-2-Rose-2271.html,Lanvin
Jimmy Choo Floral,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-Floral-53143.html,Jimmy Choo
Roberto Cavalli Nero Assoluto,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Nero-Assoluto-18833.html,Roberto Cavalli
DKNY Women,https://www.fragrantica.com/perfume/Donna-Karan/DKNY-Women-504.html,Donna Karan
Femme Rochas,https://www.fragrantica.com/perfume/Rochas/Femme-Rochas-28.html,Rochas
Jeanne Lanvin,https://www.fragrantica.com/perfume/Lanvin/Jeanne-Lanvin-3779.html,Lanvin
Coach Dreams,https://www.fragrantica.com/perfume/Coach/Coach-Dreams-58846.html,Coach
Marry Me,https://www.fragrantica.com/perfume/Lanvin/Marry-Me-9405.html,Lanvin
Oxygene,https://www.fragrantica.com/perfume/Lanvin/Oxygene-990.html,Lanvin
Signature Absolue,https://www.fragrantica.com/perfume/Montblanc/Signature-Absolue-78951.html,Montblanc
First,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/First-776.html,Van Cleef & Arpels
Boucheron,https://www.fragrantica.com/perfume/Boucheron/Boucheron-133.html,Boucheron
Just Cavalli,https://www.fragrantica.com/perfume/Roberto-Cavalli/Just-Cavalli-16760.html,Roberto Cavalli
L'Agent,https://www.fragrantica.com/perfume/Agent-Provocateur/L-Agent-11214.html,Agent Provocateur
Bella Rosa,https://www.fragrantica.com/perfume/Oscar-de-la-Renta/Bella-Rosa-53151.html,Oscar de la Renta
Moncler pour Femme,https://www.fragrantica.com/perfume/Moncler/Moncler-pour-Femme-69819.html,Moncler
Fantasia Mermaid,https://www.fragrantica.com/perfume/Anna-Sui/Fantasia-Mermaid-54060.html,Anna Sui
Diva,https://www.fragrantica.com/perfume/Emanuel-Ungaro/Diva-901.html,Emanuel Ungaro
Jimmy Choo Rose Passion,https://www.fragrantica.com/perfume/Jimmy-Choo/Jimmy-Choo-Rose-Passion-79659.html,Jimmy Choo
Guess Seductive,https://www.fragrantica.com/perfume/Guess/Guess-Seductive-9453.html,Guess
DKNY Nectar Love,https://www.fragrantica.com/perfume/Donna-Karan/DKNY-Nectar-Love-45499.html,Donna Karan
