Name,Link,Brand
Red Temptation For Her,https://www.fragrantica.com/perfume/Zara/Red-Temptation-For-Her-63264.html,Zara
Rose Gourmand For Her,https://www.fragrantica.com/perfume/Zara/Rose-Gourmand-For-Her-63268.html,Zara
Cherry Smoothie,https://www.fragrantica.com/perfume/Zara/Cherry-Smoothie-72492.html,Zara
Golden Decade,https://www.fragrantica.com/perfume/Zara/Golden-Decade-69404.html,Zara
Applejuice,https://www.fragrantica.com/perfume/Zara/Applejuice-17189.html,Zara
Fields At Nightfall,https://www.fragrantica.com/perfume/Zara/Fields-At-Nightfall-64241.html,Zara
Gardenia,https://www.fragrantica.com/perfume/Zara/Gardenia-68682.html,Zara
Bohemian Oud,https://www.fragrantica.com/perfume/Zara/Bohemian-Oud-74198.html,Zara
Hibiscus,https://www.fragrantica.com/perfume/Zara/Hibiscus-73796.html,Zara
Zara Femme 2018,https://www.fragrantica.com/perfume/Zara/Zara-Femme-2018-48596.html,Zara
Violet Blossom,https://www.fragrantica.com/perfume/Zara/Violet-Blossom-56281.html,Zara
Red Vanilla,https://www.fragrantica.com/perfume/Zara/Red-Vanilla-35806.html,Zara
Sublime Epoque,https://www.fragrantica.com/perfume/Zara/Sublime-Epoque-69405.html,Zara
Wonder Rose 2019,https://www.fragrantica.com/perfume/Zara/Wonder-Rose-2019-53998.html,Zara
Deep Garden,https://www.fragrantica.com/perfume/Zara/Deep-Garden-50186.html,Zara
Nude Bouquet 2017,https://www.fragrantica.com/perfume/Zara/Nude-Bouquet-2017-47396.html,Zara
Go Fruity,https://www.fragrantica.com/perfume/Zara/Go-Fruity-63270.html,Zara
Lightly Bloom,https://www.fragrantica.com/perfume/Zara/Lightly-Bloom-50187.html,Zara
Red Temptation Summer,https://www.fragrantica.com/perfume/Zara/Red-Temptation-Summer-79614.html,Zara
Oriental,https://www.fragrantica.com/perfume/Zara/Oriental-16574.html,Zara
Perpetual Oud,https://www.fragrantica.com/perfume/Zara/Perpetual-Oud-74201.html,Zara
Sultry Pear Eau de Parfum,https://www.fragrantica.com/perfume/Zara/Sultry-Pear-Eau-de-Parfum-81571.html,Zara
Cherry Smoothie Eau de Parfum,https://www.fragrantica.com/perfume/Zara/Cherry-Smoothie-Eau-de-Parfum-81568.html,Zara
Hipster Oud,https://www.fragrantica.com/perfume/Zara/Hipster-Oud-74199.html,Zara
Warm Freedom,https://www.fragrantica.com/perfume/Zara/Warm-Freedom-78060.html,Zara
Zara Orchid 2021,https://www.fragrantica.com/perfume/Zara/Zara-Orchid-2021-69813.html,Zara
Rose Marshmallow Candy,https://www.fragrantica.com/perfume/Zara/Rose-Marshmallow-Candy-64200.html,Zara
Pink Flambe,https://www.fragrantica.com/perfume/Zara/Pink-Flambe-49324.html,Zara
Red Temptation Winter,https://www.fragrantica.com/perfume/Zara/Red-Temptation-Winter-76788.html,Zara
Barbie,https://www.fragrantica.com/perfume/Zara/Barbie-83741.html,Zara
Nuit,https://www.fragrantica.com/perfume/Zara/Nuit-17415.html,Zara
Tuberose,https://www.fragrantica.com/perfume/Zara/Tuberose-48597.html,Zara
Peach Glow Eau de Parfum,https://www.fragrantica.com/perfume/Zara/Peach-Glow-Eau-de-Parfum-81570.html,Zara
Nude Bouquet,https://www.fragrantica.com/perfume/Zara/Nude-Bouquet-38024.html,Zara
Amber Fusion For Her,https://www.fragrantica.com/perfume/Zara/Amber-Fusion-For-Her-63267.html,Zara
Majestic Opulence,https://www.fragrantica.com/perfume/Zara/Majestic-Opulence-69403.html,Zara
Twilight Mauve,https://www.fragrantica.com/perfume/Zara/Twilight-Mauve-36909.html,Zara
Gourmand Addict,https://www.fragrantica.com/perfume/Zara/Gourmand-Addict-53996.html,Zara
Zara Gardenia 2017,https://www.fragrantica.com/perfume/Zara/Zara-Gardenia-2017-43680.html,Zara
Orchid 2019,https://www.fragrantica.com/perfume/Zara/Orchid-2019-53999.html,Zara
Black Amber,https://www.fragrantica.com/perfume/Zara/Black-Amber-43462.html,Zara
Fabulous Sweet,https://www.fragrantica.com/perfume/Zara/Fabulous-Sweet-77028.html,Zara
Gardenia 2021,https://www.fragrantica.com/perfume/Zara/Gardenia-2021-69811.html,Zara
A Sweet Pastry In Paris,https://www.fragrantica.com/perfume/Zara/A-Sweet-Pastry-In-Paris-62356.html,Zara
Velvet Shadow (Into The Gourmand),https://www.fragrantica.com/perfume/Zara/Velvet-Shadow-Into-The-Gourmand-84457.html,Zara
Saffron & Orange Flowers,https://www.fragrantica.com/perfume/Zara/Saffron-Orange-Flowers-75206.html,Zara
Salty Ocean Bouquet,https://www.fragrantica.com/perfume/Zara/Salty-Ocean-Bouquet-75204.html,Zara
Marshmallow Addiction,https://www.fragrantica.com/perfume/Zara/Marshmallow-Addiction-74092.html,Zara
Frosted Cream,https://www.fragrantica.com/perfume/Zara/Frosted-Cream-52490.html,Zara
Frosted Cream 2019,https://www.fragrantica.com/perfume/Zara/Frosted-Cream-2019-53991.html,Zara
Zara Woman Gold 2021,https://www.fragrantica.com/perfume/Zara/Zara-Woman-Gold-2021-67804.html,Zara
Memoire Intense,https://www.fragrantica.com/perfume/Zara/Memoire-Intense-69402.html,Zara
Marshmallow Addict Eau de Parfum,https://www.fragrantica.com/perfume/Zara/Marshmallow-Addict-Eau-de-Parfum-81569.html,Zara
Cashmere Rose,https://www.fragrantica.com/perfume/Zara/Cashmere-Rose-64240.html,Zara
Exotic Mimosa,https://www.fragrantica.com/perfume/Zara/Exotic-Mimosa-75692.html,Zara
Unusual Gourmand,https://www.fragrantica.com/perfume/Zara/Unusual-Gourmand-75688.html,Zara
Tropical Boost,https://www.fragrantica.com/perfume/Zara/Tropical-Boost-72493.html,Zara
Ultra Juicy 2019,https://www.fragrantica.com/perfume/Zara/Ultra-Juicy-2019-53994.html,Zara
Caviar Bergamot,https://www.fragrantica.com/perfume/Zara/Caviar-Bergamot-75205.html,Zara
MSK 004/NTL,https://www.fragrantica.com/perfume/Zara/MSK-004-NTL-66982.html,Zara
Energy Vibe,https://www.fragrantica.com/perfume/Zara/Energy-Vibe-78058.html,Zara
Vibrancy Adventures,https://www.fragrantica.com/perfume/Zara/Vibrancy-Adventures-78059.html,Zara
Grapefruit Incense,https://www.fragrantica.com/perfume/Zara/Grapefruit-Incense-72613.html,Zara
Vibrant Leather for Her 2021,https://www.fragrantica.com/perfume/Zara/Vibrant-Leather-for-Her-2021-66974.html,Zara
Zara White,https://www.fragrantica.com/perfume/Zara/Zara-White-43682.html,Zara
Peony,https://www.fragrantica.com/perfume/Zara/Peony-73795.html,Zara
A Mochi Atelier In Tokyo,https://www.fragrantica.com/perfume/Zara/A-Mochi-Atelier-In-Tokyo-62355.html,Zara
Unusual Fruit,https://www.fragrantica.com/perfume/Zara/Unusual-Fruit-75685.html,Zara
Unusual Wood,https://www.fragrantica.com/perfume/Zara/Unusual-Wood-75687.html,Zara
Zara Orchid 2016,https://www.fragrantica.com/perfume/Zara/Zara-Orchid-2016-41954.html,Zara
Wonder Rose Obsession,https://www.fragrantica.com/perfume/Zara/Wonder-Rose-Obsession-72828.html,Zara
Zara Bright Rose,https://www.fragrantica.com/perfume/Zara/Zara-Bright-Rose-28867.html,Zara
Majestic Lilas,https://www.fragrantica.com/perfume/Zara/Majestic-Lilas-81567.html,Zara
Nocturnal Life,https://www.fragrantica.com/perfume/Zara/Nocturnal-Life-84763.html,Zara
True Amore (Into The Floral),https://www.fragrantica.com/perfume/Zara/True-Amore-Into-The-Floral-84455.html,Zara
Zara Rose,https://www.fragrantica.com/perfume/Zara/Zara-Rose-43684.html,Zara
Woman Cherry,https://www.fragrantica.com/perfume/Zara/Woman-Cherry-69133.html,Zara
Candy Festival,https://www.fragrantica.com/perfume/Zara/Candy-Festival-74094.html,Zara
Blanc-à-Porter (Layering Enhancer Fragrance),https://www.fragrantica.com/perfume/Zara/Blanc-a-Porter-Layering-Enhancer-Fragrance-84454.html,Zara
Unexpected Joy,https://www.fragrantica.com/perfume/Zara/Unexpected-Joy-78056.html,Zara
No 2 Bergamot and Leather Spritz,https://www.fragrantica.com/perfume/Zara/No-2-Bergamot-and-Leather-Spritz-66905.html,Zara
Nobody Knows (Into The Woods),https://www.fragrantica.com/perfume/Zara/Nobody-Knows-Into-The-Woods-84459.html,Zara
No 1 Rose Petal Drops,https://www.fragrantica.com/perfume/Zara/No-1-Rose-Petal-Drops-66904.html,Zara
Noble Wisteria,https://www.fragrantica.com/perfume/Zara/Noble-Wisteria-81564.html,Zara
Splendid Bronze (Into The Gourmand),https://www.fragrantica.com/perfume/Zara/Splendid-Bronze-Into-The-Gourmand-84460.html,Zara
Fruity,https://www.fragrantica.com/perfume/Zara/Fruity-16572.html,Zara
Zara Black Amber,https://www.fragrantica.com/perfume/Zara/Zara-Black-Amber-17188.html,Zara
04 Violet Blossom,https://www.fragrantica.com/perfume/Zara/04-Violet-Blossom-81628.html,Zara
Les Heures Passent (Into The Joyful),https://www.fragrantica.com/perfume/Zara/Les-Heures-Passent-Into-The-Joyful-84461.html,Zara
Zara Cashmere Rose,https://www.fragrantica.com/perfume/Zara/Zara-Cashmere-Rose-47395.html,Zara
