Name,Link,Brand
Baccarat Rouge 540,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html,Maison Francis Kurkdjian
Grand Soir,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html,Maison Francis Kurkdjian
Baccarat Rouge 540 Extrait de Parfum,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-Extrait-de-Parfum-46066.html,Maison Francis Kurkdjian
Oud Satin Mood,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-30352.html,Maison Francis Kurkdjian
Gentle Fluidity Gold,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Gold-53401.html,Maison Francis Kurkdjian
Acqua di Parma Blu Mediterraneo - Fico di Amalfi,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Fico-di-Amalfi-1687.html,Acqua di Parma
Ombre Nomade,https://www.fragrantica.com/perfume/Louis-Vuitton/Ombre-Nomade-49755.html,Louis Vuitton
Gentle Fluidity Silver,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Silver-53400.html,Maison Francis Kurkdjian
Vanilla Diorama,https://www.fragrantica.com/perfume/Dior/Vanilla-Diorama-68198.html,Dior
Dior Homme Cologne 2022,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-2022-72062.html,Dior
Gris Dior,https://www.fragrantica.com/perfume/Dior/Gris-Dior-48387.html,Dior
Angélique Noire,https://www.fragrantica.com/perfume/Guerlain/Angelique-Noire-1021.html,Guerlain
724,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/724-75754.html,Maison Francis Kurkdjian
Tobacolor,https://www.fragrantica.com/perfume/Dior/Tobacolor-65551.html,Dior
Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Mandorlo-di-Sicilia-1688.html,Acqua di Parma
Afternoon Swim,https://www.fragrantica.com/perfume/Louis-Vuitton/Afternoon-Swim-53947.html,Louis Vuitton
Fève Délicieuse,https://www.fragrantica.com/perfume/Dior/Feve-Delicieuse-30164.html,Dior
Aqua Allegoria Herba Fresca,https://www.fragrantica.com/perfume/Guerlain/Aqua-Allegoria-Herba-Fresca-60.html,Guerlain
Les Absolus d'Orient Santal Royal,https://www.fragrantica.com/perfume/Guerlain/Les-Absolus-d-Orient-Santal-Royal-28246.html,Guerlain
Oud Satin Mood Extrait de parfum,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-Extrait-de-parfum-48463.html,Maison Francis Kurkdjian
Acqua di Parma Colonia,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-1681.html,Acqua di Parma
Ambre Nuit,https://www.fragrantica.com/perfume/Dior/Ambre-Nuit-7092.html,Dior
Acqua di Parma Blu Mediterraneo Arancia di Capri,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-di-Capri-1685.html,Acqua di Parma
Ambre Nuit,https://www.fragrantica.com/perfume/Dior/Ambre-Nuit-48395.html,Dior
