Name,Link,Brand
Bombshell,https://www.fragrantica.com/perfume/Victoria-s-Secret/Bombshell-10190.html,Victoria's Secret
Bare Vanilla,https://www.fragrantica.com/perfume/Victoria-s-Secret/Bare-Vanilla-56836.html,Victoria's Secret
Into The Night,https://www.fragrantica.com/perfume/Bath-Body-Works/Into-The-Night-67702.html,Bath & Body Works
Coconut Passion,https://www.fragrantica.com/perfume/Victoria-s-Secret/Coconut-Passion-7993.html,Victoria's Secret
Bare,https://www.fragrantica.com/perfume/Victoria-s-Secret/Bare-75277.html,Victoria's Secret
Warm Vanilla Sugar,https://www.fragrantica.com/perfume/Bath-Body-Works/Warm-Vanilla-Sugar-67700.html,Bath & Body Works
Strawberry Pound Cake,https://www.fragrantica.com/perfume/Bath-Body-Works/Strawberry-Pound-Cake-60030.html,Bath & Body Works
Tease Crème Cloud,https://www.fragrantica.com/perfume/Victoria-s-Secret/Tease-Creme-Cloud-68550.html,Victoria's Secret
Pure Seduction,https://www.fragrantica.com/perfume/Victoria-s-Secret/Pure-Seduction-7989.html,Victoria's Secret
Champagne Toast,https://www.fragrantica.com/perfume/Bath-Body-Works/Champagne-Toast-52657.html,Bath & Body Works
Velvet Petals,https://www.fragrantica.com/perfume/Victoria-s-Secret/Velvet-Petals-56837.html,Victoria's Secret
Love Spell,https://www.fragrantica.com/perfume/Victoria-s-Secret/Love-Spell-7988.html,Victoria's Secret
A Thousand Wishes,https://www.fragrantica.com/perfume/Bath-Body-Works/A-Thousand-Wishes-77492.html,Bath & Body Works
Tease Sugar Fleur,https://www.fragrantica.com/perfume/Victoria-s-Secret/Tease-Sugar-Fleur-76967.html,Victoria's Secret
Vanilla Bean Noel,https://www.fragrantica.com/perfume/Bath-Body-Works/Vanilla-Bean-Noel-28525.html,Bath & Body Works
Bombshell Intense,https://www.fragrantica.com/perfume/Victoria-s-Secret/Bombshell-Intense-56355.html,Victoria's Secret
Tease,https://www.fragrantica.com/perfume/Victoria-s-Secret/Tease-47870.html,Victoria's Secret
